Prerequisites,Course Name,Credits,Concurrent Enrollment
CHEM 2200;MATH 1520,CHEM 3330,3,False
CHEM 2200;MATH 1520,CHEM 3340,3,False
CHEM 3330,CHEM 3345,6,False
CHEM 2410;CHEM 2430,CHEM 3600,3,False
,CHEM 3910,6,False
,CHEM 3930,3,False
,CHEM 3970,3,False
,CHEM 3980,3,False
CHEM 2200;CHEM 2205;CHEM 2420;CHEM 2440;PHYS 1330;PHYS 1630,CHEM 4200,3,False
CHEM 2200;CHEM 2205;CHEM 2440;CHEM 2420;CHEM 2445,CHEM 4205,1,False
MATH 1520,CHEM 4300,3,False
CHEM 2440;CHEM 2420;CHEM 2445;CHEM 2425,CHEM 4400,3,False
CHEM 2410;CHEM 2420;CHEM 2430;CHEM 2440,CHEM 4470,3,False
CHEM 2420;CHEM 2440,CHEM 4500,3,False
CHEM 4500,CHEM 4505,1,False
CHEM 2420;CHEM 2440;CHEM 2200,CHEM 4610,3,False
CHEM 2205;CHEM 2425;CHEM 2445;CHEM 4610,CHEM 4615,1,True
CHEM 4610,CHEM 4620,3,False
CHEM 4615,CHEM 4625,1,False
CHEM 2420;CHEM 2200;CHEM 3330,CHEM 4800,3,False
,CHEM 4910,6,False
,CHEM 4930,4,False
,CHEM 4980,3,False
,CHIN 1010,3,False
CHIN 1010,CHIN 1020,3,False
,CHIN 1930,4,False
,CHIN 1980,3,False
CHIN 1020,CHIN 2010,3,False
CHIN 2010,CHIN 2020,3,False
,CHIN 2930,3,False
,CHIN 2980,3,False
,CHIN 3000,3,False
CHIN 2020,CHIN 3010,3,False
CHIN 3010,CHIN 3020,3,False
,CHIN 3100,3,False
,CHIN 3150,3,False
,CHIN 3910,6,False
,CHIN 3930,3,False
,CHIN 3980,3,False
,CHIN 4910,6,False
,CHIN 4930,3,False
,CHIN 4980,3,False
,CVNG 1000,2,False
,CVNG 1001,2,False
,CVNG 1010,1,False
CVNG 1010,CVNG 1020,1,False
CVNG 1020;MATH 1510,CVNG 1500,3,True
,CVNG 2010,3,False
,CVNG 2017,3,False
CVNG 2010;GIS 4010,CVNG 2020,1,True
CVNG 1001,CVNG 2070,3,False
PHYS 1610,CVNG 2100,3,False
CVNG 1000;MATH 1510,CVNG 2500,3,False
,CVNG 2910,0,False
,CVNG 2930,3,False
,CVNG 2980,3,False
,CVNG 3010,3,False
,CVNG 3020,1,False
,CVNG 3030,1,False
,CVNG 3031,2,False
CHEM 1110,CVNG 3040,3,False
CHEM 1115,CVNG 3041,1,False
,CVNG 3070,2,False
CVNG 3030,CVNG 3090,3,False
,CVNG 3100,1,False
MATH 3850,CVNG 3110,3,False
,CVNG 3120,1,False
,CVNG 3130,3,False
,CVNG 3140,1,False
CVNG 3010;CVNG 3030,CVNG 3150,3,False
,CVNG 3160,1,False
,CVNG 3910,0,False
,CVNG 3915,3,False
,CVNG 3930,3,False
,CVNG 3980,3,False
,CVNG 4010,1,False
CVNG 3090,CVNG 4030,3,False
CVNG 3010,CVNG 4050,3,False
CVNG 3010,CVNG 4070,3,False
CVNG 3150,CVNG 4090,3,False
CVNG 3150,CVNG 4110,3,False
CVNG 3150,CVNG 4130,3,False
CVNG 3150,CVNG 4150,3,False
CVNG 3150,CVNG 4170,3,False
,CVNG 4190,3,False
CVNG 3130,CVNG 4210,3,False
,CVNG 4250,3,False
,CVNG 4260,3,False
CVNG 3130,CVNG 4330,3,False
CVNG 3130,CVNG 4350,3,False
CVNG 3130,CVNG 4370,3,False
CVNG 3110,CVNG 4450,3,False
CVNG 3110,CVNG 4460,3,False
CVNG 3110,CVNG 4470,3,False
CVNG 3110,CVNG 4480,3,False
